Bird #,Sex,Age (days),Exp. Temp. (degree C),Mass (g),Tarsus (mm),Culmen (mm),Depth (mm),Width (mm),NOTES
1,,5,15,16.09,19.38,7.64,4.23,4.49,
2,m,5,15,19.22,20.38,7.49,4.46,4.44,
3,f,5,15,17.51,19.04,7.31,3.92,4.01,
4,m,5,15,14.36,20.11,7.34,3.85,4.22,
5,f,5,15,17.43,21.82,8.24,4.42,4.56,
6,m,5,15,15.66,19.83,6.82,3.65,3.73,
7,m,5,15,20,21.65,7.84,3.94,4.6,
8,,5,15,16.42,18.19,7.39,3.72,4.66,
9,m,5,15,17.4,19.4,7.4,4.5,3.83,
10,f,5,15,20.04,20.91,7.81,4.09,3.89,
11,f,5,15,16.19,19.97,6.86,4.61,4.53,
12,m,5,15,16.2,18.59,7.83,4.61,3.89,
13,f,5,15,17.1,18.67,6.85,4.97,3.91,
14,f,5,15,15.62,20.64,6.6,4.15,4.12,
15,m,5,15,14.94,18.23,6.47,5.11,3.7,
16,f,5,15,23.44,21.59,8.66,4.43,4.25,
17,f,5,15,17.31,20.24,7.43,4.31,4.28,
18,m,5,15,12.51,17.66,6.84,4.34,3.92,
19,f,5,15,15.82,20.36,7.39,4.63,4.44,
20,m,5,15,16.47,18,8.12,4.21,4.39,
21,m,5,30,17.32,19.58,7.21,3.85,3.81,
22,f,5,30,20.77,22.34,8.74,4.08,4.16,
23,m,5,30,15.53,18.52,6.7,3.98,4.34,
24,m,5,30,14.78,19.22,6.66,4.5,4.29,
25,m,5,30,15.41,20.23,8.46,4.99,4.04,
26,m,5,30,13.56,19.18,6.98,4.92,4.09,
27,f,5,30,13.46,17.93,6.86,4.23,3.96,
28,f,5,30,17.13,20.74,7.01,3.3,4.07,
29,f,5,30,17.29,21.98,9,4.19,4.06,
30,f,5,30,12.96,18.69,7.36,4.1,3.97,
31,f,5,30,17.72,20.47,7.76,4.78,4,
32,m,5,30,13.72,20.03,6.93,3.32,4.22,
33,m,5,30,16.44,19.7,7.91,4.59,4.27,
34,m,5,30,16.34,19.59,7.67,4.41,4.15,
35,f,5,30,16.22,19.65,7.22,4.76,4.36,
36,f,5,30,15.56,19.82,7.26,4.8,4.57,
37,,5,30,14.48,20.92,7.87,4.35,4.03,
38,m,5,30,17.83,19.27,6.64,4.48,4.44,
39,f,5,30,15.09,19.39,7.06,4.81,3.29,
40,,5,30,12.94,19.02,6.6,3.93,3.97,
1,,7,15,13.84,18.52,7.88,3.54,4.05,
2,m,7,15,23.15,19.89,7.95,5.85,4.41,
3,f,7,15,21.68,20.63,7.75,4.48,3.71,
4,m,7,15,17.44,19.92,6.82,4.46,4.21,
5,f,7,15,19.89,19.22,7.55,4.16,3.52,
6,m,7,15,17.54,19.42,4.23,4.66,4.44,
7,m,7,15,26.82,23.24,8.44,5.48,4.53,
8,,7,15,18.33,18.76,7.49,5.55,3.86,
9,m,7,15,21.39,21.25,7.8,4.3,4.25,
10,f,7,15,23.99,20.22,8.5,4.61,3.99,
11,f,7,15,18.36,19.06,8,3.9,4.83,
12,m,7,15,23.32,22.59,8.51,5.4,4.1,
13,f,7,15,19.38,20.44,7.49,4.32,4.5,
14,f,7,15,16.93,16.19,8.73,4.99,4.25,
15,m,7,15,13.76,18.78,6.78,5.6,3.98,
16,f,7,15,29.45,23.39,8.82,4.22,4.45,
17,f,7,15,20.8,22.31,7.47,4.75,4.6,
18,m,7,15,13.67,18.22,6.68,6.92,3.84,
19,f,7,15,19.21,21.74,7.38,4.71,4,
20,m,7,15,18.4,19.91,7.38,4.09,4.31,
21,m,7,30,21.38,19.69,7.18,4.27,4.14,
22,f,7,30,27.04,22.59,7.91,5.76,4.86,
23,m,7,30,16.66,19.83,6.79,4.72,4.75,
24,m,7,30,17.42,18.44,6.86,4.55,3.64,
25,m,7,30,15.8,21.36,7.89,4.45,4.22,
26,m,7,30,14.6,18.81,6.1,3.72,4.06,
27,f,7,30,15.62,19.22,7.9,4.82,4.28,
28,f,7,30,17.82,18.59,6.78,4.33,3.76,
29,f,7,30,19.22,21.98,8.82,5.61,4.14,
30,f,7,30,15.55,19.15,7.56,4.16,4.41,
31,f,7,30,19.03,21.61,7.61,4.63,3.72,
32,m,7,30,17.42,20.25,7.79,4,4.06,
33,m,7,30,17.01,20.22,8.33,4.12,4.91,
34,m,7,30,18.78,20.09,7.11,4.38,3.92,
35,f,7,30,20.96,20.51,7.27,5.82,4.55,
36,f,7,30,18.9,19.7,7.8,4.87,4.21,
37,,7,30,17.33,20.79,7.49,4.19,4.27,
38,m,7,30,20.44,22.07,7.21,4.12,4.01,
39,f,7,30,19.78,18.9,9.86,4.84,3.67,
40,,7,30,,,,,,*died day 6
1,,9,15,17.48,21.6,6.84,4.11,4.54,
2,m,9,15,29.88,22.92,8.46,5.15,4.29,
3,f,9,15,27.5,22.62,7.96,4.9,4.2,
4,m,9,15,21.63,23.31,8.15,4.31,4.18,
5,f,9,15,35.06,25.57,8.38,5.2,4.51,
6,m,9,15,24.57,22.9,8.34,4.66,4.25,
7,m,9,15,36.2,23.52,8.49,4.99,4.35,
8,,9,15,22.65,19.77,7.82,5.43,4.21,
9,m,9,15,31.22,21.43,8.3,4.23,3.88,
10,f,9,15,34.84,22.64,9.11,4.25,4.11,
11,f,9,15,29.3,22.99,8.05,4.09,4.42,
12,m,9,15,24.49,21.4,7.21,4.72,4.03,
13,f,9,15,25.63,22.13,8.45,4.71,4.64,
14,f,9,15,25.36,23.44,8.28,4.88,4.3,
15,m,9,15,19.76,20.69,9.1,4.99,3.89,
16,f,9,15,38.91,23.77,9.16,4.87,4.88,
17,f,9,15,28.12,22.39,7.29,4.71,4.46,
18,m,9,15,20.53,19.8,6.04,3.95,3.88,
19,f,9,15,30,25.4,7.69,4.19,4.44,
20,m,9,15,26.54,20.41,8.99,4.36,3.65,
21,m,9,30,31.89,22.27,7.81,3.78,4.37,
22,f,9,30,38.62,25.12,8.86,5.08,4.45,
23,m,9,30,35.36,29.99,8.04,4.81,4.68,
24,m,9,30,26.88,23.02,7.96,4.88,4.1,
25,m,9,30,23,21.82,7.83,5.01,3.83,
26,m,9,30,22.8,21.13,7.94,4.29,4.14,
27,f,9,30,23.96,22.35,8.13,4.15,4.26,
28,f,9,30,29.65,22.96,8.64,4.92,4.2,
29,f,9,30,25.71,24.41,8.74,4.25,4.76,
30,f,9,30,21.8,21.23,8.04,4.71,4.32,
31,f,9,30,29.67,23.64,7.74,4.78,3.8,
32,m,9,30,27.06,24.15,7.75,4.7,4.49,
33,m,9,30,29.08,20.45,7.97,4.46,4.7,
34,m,9,30,28,21.85,8.16,4.37,4.59,
35,f,9,30,30,23.16,8.92,5.17,4.82,
36,f,9,30,25.4,21.74,7.64,5.13,4.27,
37,,9,30,23.54,22.22,7.64,4.58,4.41,
38,m,9,30,30.86,24.72,8.33,5.25,4.14,
39,f,9,30,31.08,22.74,6.68,5.51,4.27,
40,,9,30,,,,,,
1,,11,15,18.58,20.02,7.97,4.43,4.77,
2,m,11,15,42.83,24.15,8.23,4.38,4.48,
3,f,11,15,35.46,22.87,9.77,5.38,4.29,
4,m,11,15,29.6,23.3,7.9,4.92,4.56,
5,f,11,15,51.1,27.93,9.48,6.42,4.96,
6,m,11,15,33.09,23.61,8.94,5.23,4.53,
7,m,11,15,46,26.09,8.66,5.06,5.85,
8,,11,15,28.95,20.62,8.62,5.9,4.68,
9,m,11,15,41.19,25.13,8.64,5.92,5.13,
10,f,11,15,46.39,25.18,8.94,5.54,4.66,
11,f,11,15,40.99,24.82,8.08,4.94,4.59,
12,m,11,15,31.9,22.85,9.15,4.36,4.6,
13,f,11,15,33.69,22.89,8.75,4.88,4.35,
14,f,11,15,35.74,24.21,9.14,4.77,4.77,
15,m,11,15,27.59,22.02,8.77,5.58,5.07,
16,f,11,15,50.13,26.34,9.26,5.44,5.01,
17,f,11,15,37.25,24.43,8.45,5.15,4.46,
18,m,11,15,28.56,22.41,8.5,5.15,4.44,
19,f,11,15,42.53,24.11,9.4,4.28,4.6,
20,m,11,15,37.88,34.13,9.36,6.01,4.59,
21,m,11,30,43.26,27.1,7.7,5.03,4.31,
22,f,11,30,52.44,26.05,9.09,5.05,4.29,
23,m,11,30,33.83,23.39,7.85,5.08,4.07,
24,m,11,30,36.55,25.33,7.47,5.12,3.94,
25,m,11,30,31.38,23.69,8.9,5.4,4.74,
26,m,11,30,31.48,22.38,7.94,5.54,4.09,
27,f,11,30,32.02,24.18,7.91,4.6,4.22,
28,f,11,30,41.45,25.41,8.91,4.92,4.49,
29,f,11,30,33.89,26.71,9.5,5.42,4.54,
30,f,11,30,29.26,23.09,7.69,5.13,4.36,
31,f,11,30,37.51,25.2,8.57,4.83,4.45,
32,m,11,30,35.32,23.15,7.36,4.23,4.75,
33,m,11,30,36.98,24.69,7.95,4.75,4.5,
34,m,11,30,36.17,24.48,7.62,4.48,4.38,
35,f,11,30,39.19,24.92,9.12,5.99,5.1,
36,f,11,30,34.58,24.07,8.97,4.85,4.86,
37,,11,30,31.37,22.74,7.39,6.61,4.99,
38,m,11,30,41.11,25.26,8.72,5.68,4.32,
39,f,11,30,44.55,21.42,8.98,5.66,4.22,
40,,11,30,,,,,,
1,,13,15,,,,,,*died day 12
2,m,13,15,51.38,27.13,9.33,4.43,4.53,
3,f,13,15,44.06,24.51,9.39,6.06,5.21,
4,m,13,15,38.56,22.38,8.79,4.73,4.35,
5,f,13,15,62.35,29.34,11.06,5.66,4.57,
6,m,13,15,38.49,23.98,9.52,5.85,4.89,
7,m,13,15,57.57,27.83,9.88,5.28,4.93,
8,,13,15,,,,,,*died day 13
9,m,13,15,51.6,27.2,9.11,5.46,4.72,
10,f,13,15,56.98,26.57,8.82,4.9,3.88,
11,f,13,15,48.86,25.1,8.87,5.77,4.53,
12,m,13,15,37.26,24.31,9,5.15,4,
13,f,13,15,39.76,24.39,7.43,4.65,4.24,
14,f,13,15,42.61,24.7,8.68,4.63,4.99,
15,m,13,15,30.62,23.83,8.72,4.73,4.12,
16,f,13,15,62.45,28.77,10.6,6.42,4.18,
17,f,13,15,45.28,25.71,10.11,6.16,5.04,
18,m,13,15,32.18,21.3,9,4.78,4.64,
19,f,13,15,51.91,27.05,9.64,4.95,4.3,
20,m,13,15,44.3,22.45,9.95,4.5,5.34,
21,m,13,30,50.9,26.94,9.37,5.36,4.56,
22,f,13,30,64.58,30.6,9.72,5.09,5.18,
23,m,13,30,42.86,27.14,9.96,4.55,4.32,
24,m,13,30,42.5,26.62,8.99,5.33,4.92,
25,m,13,30,40.74,26.4,10.77,5.67,4.9,
26,m,13,30,39.9,25.84,8.74,4.5,4.1,
27,f,13,30,38.63,22.7,8.82,5.8,4.88,
28,f,13,30,48.38,27.75,10.03,5.18,5,
29,f,13,30,43.77,27.94,9.72,4.45,5.15,
30,f,13,30,37.29,24.94,8.55,4.64,4.98,
31,f,13,30,45.43,25.41,8.88,5.4,5.2,
32,m,13,30,43.38,27.94,8.93,5.48,4.23,
33,m,13,30,42.32,27.34,7.64,6.18,4.76,
34,m,13,30,37.48,26.35,9.27,4.99,5.01,
35,f,13,30,47.86,24.73,10.25,5.86,5.7,
36,f,13,30,42.31,26.02,9.33,5.57,4.66,
37,,13,30,39.06,26.41,9.51,5.37,4.98,
38,m,13,30,50.3,26.02,8.06,5.7,4.34,
39,f,13,30,53.87,27.73,8.84,5.2,4.3,
40,,13,30,,,,,,
1,,15,15,,,,,,
2,m,15,15,62.14,27.73,8.92,5.25,5.61,
3,f,15,15,49.66,26.25,8.09,5.69,4.05,
4,m,15,15,45.86,26.17,9.67,4.84,5.07,
5,f,15,15,72.02,29.74,10.03,5.47,4.25,
6,m,15,15,46,24.95,9.69,4.5,5.72,
7,m,15,15,64.85,29.49,10.6,5.28,5.1,
8,,15,15,,,,,,
9,m,15,15,57.05,28.18,9.64,4.88,5.07,
10,f,15,15,66.5,27.42,10.04,5.25,4.93,
11,f,15,15,55.07,26.32,9.33,4.95,4.18,
12,m,15,15,40.75,24.4,9.55,5.31,4.68,
13,f,15,15,43.29,25.3,8.88,6.3,4.24,
14,f,15,15,45.68,27.24,9.33,4.4,4.71,
15,m,15,15,28.89,20.73,9.29,5.47,4.67,
16,f,15,15,70.6,31.46,11.42,6.45,5.15,
17,f,15,15,48.26,26.42,10.83,5.32,5.39,
18,m,15,15,35.24,23.01,8.94,4.07,4.38,
19,f,15,15,55.36,27.71,9.9,5.83,4.11,
20,m,15,15,46.74,25.21,9.72,5.05,4.54,
21,m,15,30,58.29,27.7,8.96,4.55,4.14,
22,f,15,30,73,30.36,9.11,5.5,4.92,
23,m,15,30,48.15,26.14,10.27,5.75,5.22,
24,m,15,30,47.35,27.06,9.21,4.68,4.25,
25,m,15,30,44.86,27.17,11.35,5.28,4.05,
26,m,15,30,46.19,24.61,9.24,4.75,4.64,
27,f,15,30,42.86,28.19,9.56,4.79,4.64,
28,f,15,30,51.89,26.81,9.98,5.73,4.89,
29,f,15,30,50.15,29.01,9.78,5.13,4.98,
30,f,15,30,38.93,26.54,10.67,4.96,4.77,
31,f,15,30,50.09,25,9.59,5.45,5.02,
32,m,15,30,50.15,27.89,9.5,4.64,4.23,
33,m,15,30,49.66,27.07,9.86,6.46,5.01,
34,m,15,30,52.99,28.24,10.83,5.99,4.71,
35,f,15,30,53.52,28.6,10.78,4.93,3.7,
36,f,15,30,49.99,25.26,10.11,4.6,4.65,
37,,15,30,,,,,,*euthanized due to injury
38,m,15,30,57.22,26.19,8.92,6.17,4.55,
39,f,15,30,64.16,28.89,9.26,5.3,5.37,
40,,15,30,,,,,,
1,,17,15,,,,,,
2,m,17,15,77.59,29.65,10.91,5.36,5.33,
3,f,17,15,63.94,27.77,9.68,4.98,4.26,
4,m,17,15,58.52,30.42,9.8,5.6,5.25,
5,f,17,15,92.61,31.95,12.78,5.51,4.97,
6,m,17,15,61.68,26.66,10.92,5.01,4.02,
7,m,17,15,81.63,31.36,10.91,5.73,5.34,
8,,17,15,,,,,,
9,m,17,15,71.42,30.03,10.75,5.74,4.78,
10,f,17,15,86.16,31.61,10.86,6.5,4.63,
11,f,17,15,73.48,29.58,10.45,6.35,5.4,
12,m,17,15,54.77,25.23,9.23,5.51,4.08,
13,f,17,15,57.9,25.61,9.64,5.24,3.74,
14,f,17,15,60.89,28.37,10.42,5.2,4.24,
15,m,17,15,38.69,24.32,10.14,4.82,4.02,
16,f,17,15,93.84,27.71,11.08,6.27,4.44,
17,f,17,15,64.38,27.28,10.95,5,5.42,
18,m,17,15,49.82,25.84,9.5,4.59,4.75,
19,f,17,15,75.38,29,10.92,4.25,4.65,
20,m,17,15,66.48,27.81,9.05,5.52,5.38,
21,m,17,30,73.41,27.06,9.98,4.74,4.46,
22,f,17,30,90.02,34.04,10.5,5.7,5.06,
23,m,17,30,59.88,27.05,10.88,5.89,4.63,
24,m,17,30,60.68,28.4,9.27,5.8,5.1,
25,m,17,30,56.38,29.15,13.6,5.88,5.06,
26,m,17,30,60.2,27.72,9.99,5.18,5.64,
27,f,17,30,53.68,25.56,10.27,4.95,4.8,
28,f,17,30,63.67,27.8,10.29,5.26,5.1,
29,f,17,30,65.8,29.75,10.5,5.24,5.64,
30,f,17,30,54.35,27.7,10.66,4.11,4.82,
31,f,17,30,62.24,26.19,10.04,5.63,4.56,
32,m,17,30,61.87,28.81,10.31,5.67,4.28,
33,m,17,30,60.03,27.24,10.31,6.09,4.74,
34,m,17,30,67.11,28.49,10.36,5.1,4.5,
35,f,17,30,68.79,29.07,10.75,5.91,5.66,
36,f,17,30,61.42,27.07,9.31,4.9,5.4,
37,,17,30,,,,,,
38,m,17,30,72.33,31.3,9.31,5.89,5.33,
39,f,17,30,77.48,31.87,8.15,5.19,5.3,
40,,17,30,,,,,,
1,,19,15,,,,,,
2,m,19,15,91.97,30.99,10.85,5.27,5.46,
3,f,19,15,70.12,28.14,8.78,5.28,4.19,
4,m,19,15,66.65,28,11.07,4.62,4.37,
5,f,19,15,104.14,34,12.3,5.69,5.51,
6,m,19,15,75.47,39.44,10.97,5.61,4.63,
7,m,19,15,92.56,27.88,7.42,6.19,5.22,
8,,19,15,,,,,,
9,m,19,15,79.01,29.86,9.42,6.18,4.34,
10,f,19,15,100.44,32.56,10.68,5.66,4.32,
11,f,19,15,86.62,31.32,9.88,5.92,5.1,
12,m,19,15,63.05,26.08,10.2,5.45,4.61,
13,f,19,15,65.95,25.72,9.05,4.81,4.55,
14,f,19,15,70.02,27.41,10.39,6.12,4.63,
15,m,19,15,48.13,24.62,9.63,5.11,5.05,
16,f,19,15,106.9,34.26,11.28,4.97,5.68,
17,f,19,15,70.89,29.2,11.09,4.8,4.94,
18,m,19,15,56.9,27.37,10.47,4.86,4.96,
19,f,19,15,88.75,28.59,11.28,4.61,4.93,
20,m,19,15,79.28,27.11,10.27,5.26,4.8,
21,m,19,30,85.11,28.78,9.75,5.03,5.54,
22,f,19,30,105.22,32.98,11.68,5.1,4.59,
23,m,19,30,68.03,32.38,10.28,5.61,5.23,
24,m,19,30,71.4,28,9.52,4.76,4.05,
25,m,19,30,68.92,29.6,12.97,5.19,4.52,
26,m,19,30,72.84,29.55,11.92,5.29,4.93,
27,f,19,30,66.1,28.5,8.93,4.18,5.31,
28,f,19,30,74.6,26.73,10.47,6.54,4.8,
29,f,19,30,77.5,31.81,11.14,5.13,4.57,
30,f,19,30,65.83,28.33,9.7,5.31,4.57,
31,f,19,30,73.45,29.43,9.61,5.5,4.32,
32,m,19,30,72.95,28.16,10.59,6.19,4.76,
33,m,19,30,68.16,29.99,10.82,5.59,5.34,
34,m,19,30,81.28,28.91,11.92,5.52,4.92,
35,f,19,30,79.24,30.7,10.4,5.11,5.03,
36,f,19,30,78.81,28.98,9.37,5.41,4.65,
37,,19,30,,,,,,
38,m,19,30,85.25,32.6,10.38,5.5,4.81,
39,f,19,30,91.93,34.1,9.87,5.81,5,
40,,19,30,,,,,,
1,,21,15,,,,,,
2,m,21,15,106.38,31.74,11.57,5.35,5.02,
3,f,21,15,86.8,29.8,9.88,5.35,5.2,
4,m,21,15,82.83,31.43,10.6,5.08,5.18,
5,f,21,15,122.7,36.06,14,7.67,5.4,
6,m,21,15,89.48,30.91,12.07,5.73,5.58,
7,m,21,15,108.9,34.53,10.44,6.44,5.31,
8,,21,15,,,,,,
9,m,21,15,98.14,30.18,10.55,5.62,5.76,
10,f,21,15,113.8,33.45,12.81,5.44,5.36,
11,f,21,15,101.16,31.97,10.01,4.69,4.78,
12,m,21,15,76.15,28.17,10.91,5.1,4.69,
13,f,21,15,80.31,28.02,10.06,5.18,5,
14,f,21,15,87.14,31.58,10.45,5.48,5.04,
15,m,21,15,60.5,26,10.52,5.69,5.97,
16,f,21,15,128.91,33.63,11.76,5.81,5.57,
17,f,21,15,84.35,31.7,12.64,5.08,5.48,
18,m,21,15,67.33,27.24,10.17,4.4,5.15,
19,f,21,15,96.79,31.07,7.08,5.26,5.12,
20,m,21,15,83.36,31.95,10.36,5.44,4.87,
21,m,21,30,97.06,30.97,11.09,5,4.37,
22,f,21,30,123.78,34.38,12.98,5.82,5.39,
23,m,21,30,84.25,30.46,11.74,6.11,4.68,
24,m,21,30,84.27,31.63,11,5.04,4.5,
25,m,21,30,78.55,35.39,11.7,4.89,5.07,
26,m,21,30,87.6,30.22,11.99,6.91,4.32,
27,f,21,30,78.86,30.25,11.67,5.52,4.46,
28,f,21,30,86.26,30.03,11.15,5.28,4.96,
29,f,21,30,94.11,34.98,11.55,6.01,5.55,
30,f,21,30,80.51,31.52,10.04,5.07,5.2,
31,f,21,30,87.88,29.59,10.4,4.9,4.86,
32,m,21,30,85.67,29.18,10.9,4.98,5.06,
33,m,21,30,82.74,32.28,11.22,5.51,4.58,
34,m,21,30,98.22,35.07,12.38,5.7,6.25,
35,f,21,30,96.8,28.98,12.39,5.38,5.4,
36,f,21,30,86.28,29.27,11.08,5.35,4.88,
37,,21,30,,,,,,
38,m,21,30,98.33,33.98,10.89,5.85,4.13,
39,f,21,30,104.78,34.12,11.39,6.14,5.09,
40,,21,30,,,,,,
1,,23,15,,,,,,
2,m,23,15,126.81,34.58,10.41,5,4.17,
3,f,23,15,103.26,23.52,10.88,5.4,4.97,
4,m,23,15,98.18,30.78,11.52,5.11,4.91,
5,f,23,15,143.3,36.36,12.72,5.8,5.06,
6,m,23,15,107.94,32.68,12.17,5.11,5.49,
7,m,23,15,129.69,35.19,13.47,6.11,5.08,
8,,23,15,,,,,,
9,m,23,15,117.33,33,9.85,5.41,5.38,
10,f,23,15,133.46,35.19,12.33,5.36,5.7,
11,f,23,15,116.8,38.67,10.13,5.47,5.64,
12,m,23,15,91.88,29.62,10.24,5.42,4.77,
13,f,23,15,92.84,29.19,10.56,5.79,4.83,
14,f,23,15,106.32,31.56,12.13,5.37,5.14,
15,m,23,15,77.28,24.7,12.19,5.93,4.76,
16,f,23,15,148.2,35.45,13.44,5.71,5.15,
17,f,23,15,103.11,28.3,11.18,5.45,5.49,
18,m,23,15,82.78,30.1,11.08,4.73,5.06,
19,f,23,15,117.4,34.85,12.52,5.34,4.8,
20,m,23,15,110.82,32.3,11.15,5.4,5.03,
21,m,23,30,110.73,32.81,12.69,6.34,5.4,
22,f,23,30,138.97,35.28,12.51,5.97,4.82,
23,m,23,30,97.38,32.3,12.29,5.31,4.74,
24,m,23,30,95.95,33.8,12.33,5.62,4.69,
25,m,23,30,94.82,35.78,13.4,5.58,4.6,
26,m,23,30,97.09,33.39,13.37,4.64,4.52,
27,f,23,30,91,31.54,11.45,6.05,4.82,
28,f,23,30,99.82,34.88,13.3,5.52,4.55,
29,f,23,30,112.04,36.71,13.13,6.52,5.3,
30,f,23,30,94.24,31.58,12.36,5.49,4.47,
31,f,23,30,101.8,34.18,11.61,5.99,4.89,
32,m,23,30,98.26,33.35,11.22,5.04,5.09,
33,m,23,30,96.1,31.72,10.15,6.05,5.03,
34,m,23,30,115.15,34.36,13.92,5.26,5.21,
35,f,23,30,107.2,32.98,12.29,6.4,4.7,
36,f,23,30,102,34.37,10.86,5.45,4.51,
37,,23,30,,,,,,
38,m,23,30,118.98,34.61,12.64,5.75,5.05,
39,f,23,30,129.44,35.62,11.8,6.77,4.84,
40,,23,30,,,,,,
1,,25,15,,,,,,
2,m,25,15,144.22,36,11,5.37,4.78,
3,f,25,15,118.47,32.67,10.63,5.18,4.46,
4,m,25,15,113.28,33.32,11.88,5.6,4.31,
5,f,25,15,159.53,38.21,14.3,6.61,5.11,
6,m,25,15,121.62,32.76,12.43,6,4.41,
7,m,25,15,145.7,36.49,12.9,6.79,5.64,
8,,25,15,,,,,,
9,m,25,15,135.05,35.6,11.62,6.19,5.03,
10,f,25,15,145.65,34.16,13.38,5.96,3.99,
11,f,25,15,129.14,34.42,10.57,5.6,4.7,
12,m,25,15,106.94,30.95,12.63,5.46,4.43,
13,f,25,15,110.5,30.92,7.44,5.11,4.75,
14,f,25,15,124,32.2,12.46,5.29,4.71,
15,m,25,15,90.56,30.05,10.73,6.49,5.43,
16,f,25,15,165.65,35.43,12.41,6.63,5.38,
17,f,25,15,121.32,31.92,13.55,5.99,3.9,
18,m,25,15,100.28,30.11,11.08,5.64,3.72,
19,f,25,15,137.36,37.34,11.14,5.18,4.86,
20,m,25,15,127.72,32.67,11.79,6.14,4.74,
21,m,25,30,128.2,35.08,11.77,5.99,4.98,
22,f,25,30,155.49,36,13.69,6.19,4.13,
23,m,25,30,109.15,35.52,12.92,5.86,5.47,
24,m,25,30,108.06,35.04,10.49,5.39,5.11,
25,m,25,30,105.24,35.44,14.47,5.79,4.71,
26,m,25,30,109.6,34.55,12.99,5.92,4.96,
27,f,25,30,103.8,32.38,12.91,5.3,4.95,
28,f,25,30,112.15,34.84,10.91,5.76,5.28,
29,f,25,30,126.95,40.78,12.86,5.98,5.19,
30,f,25,30,103.73,35.69,12.99,5.74,4.61,
31,f,25,30,111.72,34.46,12.42,6.73,4.93,
32,m,25,30,111.72,36.73,12.64,5.14,5.39,
33,m,25,30,106.52,35,12.41,5.82,5.12,
34,m,25,30,128,37.41,12.2,6.23,5.17,
