Bird #,Sex,Age (days),Exp. Temp. (degree C),Mass (g),Tarsus (mm),Culmen (mm),Depth (mm),Width (mm),NOTES
35,f,25,30,120.28,37.28,12.47,6.63,5.64,
36,f,25,30,112.06,35.3,11.75,6.23,5.54,
37,,25,30,,,,,,
38,m,25,30,130.28,36.3,12.53,5.88,4.1,
39,f,25,30,139.94,36.11,12.13,6.74,4.95,
40,,25,30,,,,,,
1,,27,15,,,,,,
2,m,27,15,172.97,37.1,12.51,5.5,5.35,
3,f,27,15,142.03,34.7,11.93,6.19,4.91,
4,m,27,15,133.51,33.34,11.04,4.91,4.85,
5,f,27,15,179.04,39.89,14.17,5.79,4.5,
6,m,27,15,142.86,37.05,13.24,5.44,4.47,
7,m,27,15,167.26,38.85,12.53,5.73,4.43,
8,,27,15,,,,,,
9,m,27,15,159.45,35.71,12.77,6.7,5.01,
10,f,27,15,160,34.23,13.11,6.18,4.87,
11,f,27,15,154.2,36.61,12.99,5,4.9,
12,m,27,15,124.89,32.45,12.42,6.08,4.6,
13,f,27,15,131.87,32.11,12.75,5.75,4.97,
14,f,27,15,146.77,35.4,10.47,4.99,5.26,
15,m,27,15,109.24,31.95,11.65,4.9,4.57,
16,f,27,15,186.97,37.62,14.29,5.04,5.41,
17,f,27,15,137.4,33.38,13.79,6.11,4.4,
18,m,27,15,120.04,32.13,13.19,5.86,4.87,
19,f,27,15,158.94,36.61,13.91,5.79,4.57,
20,m,27,15,145.1,29.92,13.1,6.09,4.54,
21,m,27,30,146.78,35.02,11.74,6.23,3.92,
22,f,27,30,179.29,38.59,14.51,6.46,5.28,
23,m,27,30,125.84,34.02,11.76,5.45,5.3,
24,m,27,30,125.14,36.05,11.33,5.84,5.03,
25,m,27,30,120.6,36.81,12.38,6.47,5.15,
26,m,27,30,120.77,36.43,13.06,5.92,5,
27,f,27,30,127.43,32.59,13.42,5.83,5.78,
28,f,27,30,135.12,34.55,11.92,5.38,5.74,
29,f,27,30,144.25,42.01,14.48,6.11,6.12,
30,f,27,30,117.26,36.45,13.01,6.52,4.89,
31,f,27,30,125,36.9,13.54,5.54,5.05,
32,m,27,30,128.07,34.44,12.75,5.68,4.9,
33,m,27,30,121.56,34.89,14.25,5.65,5.04,
34,m,27,30,151.44,35.69,12.99,6.51,4.56,
35,f,27,30,136.6,33.58,12.44,6.81,5,
36,f,27,30,130,34.71,13.2,5.02,5.64,
37,,27,30,,,,,,
38,m,27,30,144.33,36.33,13.15,6.14,4.54,
39,f,27,30,160,37.26,12.8,5.43,4.77,
40,,27,30,,,,,,
1,,29,15,,,,,,
2,m,29,15,174.78,35.39,11.71,6.33,5.7,
3,f,29,15,155.3,30.8,12.38,6.81,5.02,
4,m,29,15,147.8,36.2,13.27,6.3,4.93,
5,f,29,15,192.08,37.34,15.62,6.8,4.73,
6,m,29,15,157.75,35.17,14.27,6.49,5.08,
7,m,29,15,183.44,37.7,13.88,5.46,4.89,
8,,29,15,,,,,,
9,m,29,15,178.69,38.61,14.39,5.89,5.18,
10,f,29,15,152.09,35.59,13.23,5.32,4.85,
11,f,29,15,174.62,37.69,11.44,5.31,5.12,
12,m,29,15,144.8,31.49,12.75,5.58,4.55,
13,f,29,15,156.94,33.83,12.31,6.61,4.96,
14,f,29,15,165.83,36.8,13.27,6.03,4.74,
15,m,29,15,129.98,32.7,13.57,6.09,4.36,
16,f,29,15,207.09,38.9,14.03,5.6,4.79,
17,f,29,15,153.7,34.7,13.23,5.51,5.23,
18,m,29,15,144.99,32.16,11.49,5.61,5.41,
19,f,29,15,180.92,39.77,12.52,6.47,5.21,
20,m,29,15,164.2,32.66,11.01,5.73,4.87,
21,m,29,30,158.78,34.98,11.32,5.83,4.96,
22,f,29,30,187.3,39.29,13.64,6.3,4.57,
23,m,29,30,132,36.74,13.89,5.99,5.57,
24,m,29,30,130.78,35.79,11.1,5.91,5.31,
25,m,29,30,131.88,37.13,13.61,6,5.23,
26,m,29,30,125.98,35.78,11.99,5.02,5.64,
27,f,29,30,129.8,34.71,10.86,6.27,5.5,
28,f,29,30,139.3,36.16,13.19,6.86,4.9,
29,f,29,30,152,41.91,12.9,7.4,5.91,
30,f,29,30,127.87,36.32,13.51,5.19,5.46,
31,f,29,30,141.53,34.64,13.26,5.63,5.31,
32,m,29,30,135.86,36.62,10.57,6.39,6.25,
33,m,29,30,126.89,34.86,13.19,6.48,5.41,
34,m,29,30,154.28,37.54,13.28,5.91,6.07,
35,f,29,30,143.92,38.46,14.22,6.23,5.55,
36,f,29,30,136.08,35.52,13.33,5.85,5.81,
37,,29,30,,,,,,
38,m,29,30,149.45,38.88,13.06,5.74,5.1,
39,f,29,30,165.59,37.08,13.41,6.26,5.02,
40,,29,30,,,,,,
1,,34,15,,,,,,
2,m,34,15,217.89,40.1,14.03,5.8,5.56,
3,f,34,15,172.94,34.09,12.35,5.82,4.79,
4,m,34,15,168.72,36.41,13.17,5.34,6.29,
5,f,34,15,221.42,39.86,15.48,6.51,4.99,
6,m,34,15,174.98,37.36,13.81,6.51,5.45,
7,m,34,15,197,37.07,14.42,6.24,5.78,
8,,34,15,,,,,,
9,m,34,15,203.75,39.06,13.64,6.56,5.73,
10,f,34,15,192.59,39.1,14.01,5.61,4.92,
11,f,34,15,188.72,37.2,13.37,5.31,4.69,
12,m,34,15,157.54,34.81,12.31,5.41,4.75,
13,f,34,15,172.74,34.68,12.96,6.02,4.96,
14,f,34,15,191.32,38.87,14.05,5.24,4.59,
15,m,34,15,147.63,34.09,10.95,6.4,5,
16,f,34,15,230.42,38.4,15.14,7.09,4.89,
17,f,34,15,186.52,39.24,15.45,6.01,4.39,
18,m,34,15,164.21,34.03,13.73,6.36,4.61,
19,f,34,15,203.25,41.33,14.31,6.12,4.33,
20,m,34,15,187.92,36.14,12.73,5.58,4.67,
21,m,34,30,170.06,36.33,11.98,5.04,4.98,
22,f,34,30,205.64,39.61,13.49,6.41,4.47,
23,m,34,30,162.19,39.64,14.12,6.14,5.23,
24,m,34,30,157.52,39.11,12.63,5.53,5.07,
25,m,34,30,160.3,35.48,14.19,6.03,5.56,
26,m,34,30,161.33,39.36,13.9,6.06,4.87,
27,f,34,30,157.61,37.33,14.58,5.72,5.44,
28,f,34,30,166.56,36.13,14.59,5.82,5.58,
29,f,34,30,185.92,44.64,17.38,6.24,6.03,
30,f,34,30,159.53,38.92,15.15,6.24,4.89,
31,f,34,30,171.42,37.94,13.59,6.53,4.99,
32,m,34,30,166.08,38.98,15.35,5.74,4.99,
33,m,34,30,152.98,37.29,12.2,6.1,5.25,
34,m,34,30,188.97,38.51,14.14,5.84,5.29,
35,f,34,30,170,40.79,14.69,7.17,4.9,
36,f,34,30,155.49,40.18,13.39,6.58,5.15,
37,,34,30,,,,,,
38,m,34,30,167.48,37.97,11.11,5.93,4.65,
39,f,34,30,193.52,37.9,14.15,6.03,4.95,
40,,34,30,,,,,,
1,,39,15,,,,,,
2,m,39,15,250.72,39.23,13.49,5.89,5.03,
3,f,39,15,197.17,35.67,11.24,6.41,4.44,
4,m,39,15,189.35,38.19,12.99,5.44,4.33,
5,f,39,15,240.25,36.81,16.35,6.35,5.7,
6,m,39,15,199.35,37.74,14.22,6.18,5.18,
7,m,39,15,207.7,38.18,14.59,6.14,5.43,
8,,39,15,,,,,,
9,m,39,15,232.44,39.74,13.56,5.74,4.58,
10,f,39,15,206.61,35.7,15.7,6.94,4.74,
11,f,39,15,206.2,35.84,12.33,6.16,5.18,
12,m,39,15,181.05,34.74,12.38,6.12,5.05,
13,f,39,15,195.79,33.38,13.77,5.91,4.57,
14,f,39,15,232.4,39.98,13.59,5.65,5.5,
15,m,39,15,174.33,36.63,13.15,4.95,5.23,
16,f,39,15,249.57,36.9,15.43,5.92,5.8,
17,f,39,15,224.88,37.65,13.92,5.86,4.55,
18,m,39,15,187.59,34.59,12.33,5.75,4.38,
19,f,39,15,227.14,40.43,14.04,5.71,6.12,
20,m,39,15,206.87,37.17,13.54,6.04,4.8,
21,m,39,30,176.74,34.52,12.99,5.49,5.02,
22,f,39,30,224.73,39.84,16.5,6.26,5.06,
23,m,39,30,180.39,37,14.28,5.58,5.43,
24,m,39,30,175.55,34.57,13.83,5.12,4.48,
25,m,39,30,172.14,36.41,15.88,5.29,4.72,
26,m,39,30,183.4,39.28,12.86,5.78,5.47,
27,f,39,30,158.27,37.62,15.11,4.89,5.44,
28,f,39,30,183.66,37.33,15,6.27,4.83,
29,f,39,30,200.13,44.71,16.59,6.31,4.75,
30,f,39,30,184.42,41.49,13.41,5.89,4.45,
31,f,39,30,191.66,37.76,14.45,6.18,5.02,
32,m,39,30,177.98,38.56,14.88,5.9,5.06,
33,m,39,30,175.11,38.77,14.7,6.76,4.31,
34,m,39,30,210.93,38.37,12.15,5.63,4.39,
35,f,39,30,190.73,37.37,15.34,6.53,4.61,
36,f,39,30,175.79,35.65,13.9,5.15,5,
37,,39,30,,,,,,
38,m,39,30,188.8,39.78,15.31,5.54,5.15,
39,f,39,30,200.63,39.88,14.6,5.54,5.05,
40,,39,30,,,,,,
1,,44,15,,,,,,
2,m,44,15,248.81,39.6,13.84,5.78,4.73,
3,f,44,15,217.58,35.36,12.74,5.37,4.39,
4,m,44,15,206.11,37.81,13.96,5.78,4.75,
5,f,44,15,253.86,39.53,15.21,6.31,4.74,
6,m,44,15,218.44,38.78,14.6,6.54,4.35,
7,m,44,15,225.64,39.09,14.62,6.19,4.33,
8,,44,15,,,,,,
9,m,44,15,260.14,40.82,13.22,5.87,5.03,
10,f,44,15,223.25,36.66,15.03,5.59,4.26,
11,f,44,15,226.18,36.42,14.06,5.58,5.8,
12,m,44,15,202.09,34.83,13.08,5.68,5.48,
13,f,44,15,213.48,33.98,11.92,5.92,5.3,
14,f,44,15,245.9,38.58,11.57,5.86,5.19,
15,m,44,15,198,37.12,14.7,6.21,5,
16,f,44,15,264.88,36.65,15.24,6.48,5.06,
17,f,44,15,258.14,36.33,15.42,5.9,5.74,
18,m,44,15,215.88,33.56,14.8,5.4,4.4,
19,f,44,15,249.33,41.03,15.76,6.89,5.29,
20,m,44,15,228.56,31.68,12.77,5.15,4.49,
21,m,44,30,207.1,38.95,12.85,5.96,4.99,
22,f,44,30,233.02,40.54,14.82,6.53,5.28,
23,m,44,30,189.85,40.32,15.01,5.97,4.52,
24,m,44,30,190.14,36.44,11.86,5.08,4.18,
25,m,44,30,198.86,36.67,14.88,4.98,4.46,
26,m,44,30,200.26,37.97,13.18,5.57,4.24,
27,f,44,30,195.82,36.55,14.57,5.26,5.72,
28,f,44,30,199.68,39.13,14.76,6.28,4.82,
29,f,44,30,235.86,46.32,16.32,6.45,4.78,
30,f,44,30,202.71,38.45,15.71,5.45,4.09,
31,f,44,30,208.44,34.12,14.29,5.67,4.43,
32,m,44,30,206.13,38.05,13.59,5.22,5.02,
33,m,44,30,196.49,35.9,13.33,7.61,5.31,
34,m,44,30,232,39.61,12.69,6.08,5.19,
35,f,44,30,206.39,37.9,15.3,6.19,5.36,
36,f,44,30,190.96,35.96,12.92,6.29,4.37,
37,,44,30,,,,,,
38,m,44,30,201.66,40.71,15.08,6.7,5.14,
39,f,44,30,223.82,38.41,13.86,5.16,5.1,
40,,44,30,,,,,,
1,,49,15,,,,,,
2,m,49,15,283.6,38.82,13.68,6.22,5.65,
3,f,49,15,215.6,34.23,14.41,6.53,4.91,
4,m,49,15,230.97,37.23,13.67,6.17,4.34,
5,f,49,15,242.4,37.41,15.9,6.97,5.14,
6,m,49,15,215.9,35.54,14.61,6.86,5.89,
7,m,49,15,219.51,36.9,13.08,6.67,5.07,
8,,49,15,,,,,,
9,m,49,15,258.53,39.96,11.95,6,4.93,
10,f,49,15,221.27,36.66,14.38,5.99,4.5,
11,f,49,15,223.24,36.92,11.22,5.08,5.01,
12,m,49,15,205.19,33.23,13.94,5.46,5.14,
13,f,49,15,216,34.98,14.47,5.94,4.58,
14,f,49,15,246.62,37.38,12.18,5.91,4.53,
15,m,49,15,203.07,38.57,13.02,5.05,5.3,
16,f,49,15,264.18,39.98,15,5.92,4.87,
17,f,49,15,272.72,38.33,15.19,6.53,6.67,
18,m,49,15,222.32,31.73,14.08,5.54,4.43,
19,f,49,15,249.86,41.3,14.01,5.57,5.17,
20,m,49,15,231.1,34.03,12.17,6.02,5.33,
21,m,49,30,225.4,35.66,13.74,5.73,4.67,
22,f,49,30,235.91,38.12,15.57,6.06,4.93,
23,m,49,30,201.85,37.18,14.48,5.55,4.92,
24,m,49,30,213.87,34.22,15.54,5.62,3.63,
25,m,49,30,210.8,40.59,14.85,5.26,4.47,
26,m,49,30,209.26,36.42,15.04,5.91,4.89,
27,f,49,30,201.57,35.77,14.72,5.6,4.2,
28,f,49,30,212.04,34.99,14.08,5.55,5.05,
29,f,49,30,242.6,43.73,15.51,7.01,5.5,
30,f,49,30,226.92,35.69,16.29,4.92,4.77,
31,f,49,30,229.12,38.32,16.76,6.79,4.83,
32,m,49,30,200.64,35.05,13.74,6.1,4.66,
33,m,49,30,208.44,36.76,14.1,6.3,4.65,
34,m,49,30,229.05,38.27,15.62,6.06,5.35,
35,f,49,30,223.75,36.12,16.02,7.3,4.76,
36,f,49,30,210.81,38.81,15.6,6.06,4.7,
37,,49,30,,,,,,
38,m,49,30,213.56,35.78,15.22,5.48,4.45,
39,f,49,30,229.65,37.25,16.24,6.02,5.04,
40,,49,30,,,,,,
1,,51,15,,,,,,
2,m,51,15,300,37.23,14.47,6.6,5.43,
3,f,51,15,223.45,35.72,12.53,6.07,4.95,
4,m,51,15,212.84,35.89,12.72,5.75,3.78,
5,f,51,15,258.76,36.45,15.3,6.5,5.45,
6,m,51,15,223.75,34.02,12.55,6.59,4.86,
7,m,51,15,224.78,32.09,14.17,6.67,5.27,
8,,51,15,,,,,,
9,m,51,15,272.3,37.31,11.96,5.59,5.61,
10,f,51,15,214.13,31.54,12.3,5.36,5.45,
11,f,51,15,230.05,37.86,13.65,5.67,5.53,
12,m,51,15,235.6,37.28,14.6,6.36,5.56,
13,f,51,15,218.11,33.93,13.61,5.58,4.66,
14,f,51,15,251.83,38.75,12.26,6.6,5.3,
15,m,51,15,212.82,33.02,13.73,5.55,4.57,
16,f,51,15,270.04,37.8,15.49,6.17,4.99,
17,f,51,15,280.75,40.06,14.16,6.03,5.71,
18,m,51,15,231.8,34.7,11.44,5.95,5.67,
19,f,51,15,264,38.49,15.16,6.75,4.24,
20,m,51,15,238.32,36.8,13.36,5.84,3.7,
21,m,51,30,224.06,34.54,14.31,6.18,5.33,
22,f,51,30,243.85,37.81,14.41,6.44,5.04,
23,m,51,30,208.6,37.04,12.91,6.1,5.56,
24,m,51,30,205.55,37.07,12.92,6.36,4.4,
25,m,51,30,216.43,37.8,15,5.86,4.92,
26,m,51,30,210.1,36.49,13.6,5.66,4.5,
27,f,51,30,205.86,39.15,15.85,5.96,5.02,
28,f,51,30,214.85,36.58,13.39,6.66,5.13,
29,f,51,30,258.06,43.08,16.42,7.4,5.66,
30,f,51,30,218.36,36.13,15.41,7.58,5.41,
31,f,51,30,222.3,34.16,15.56,6.6,5.52,
32,m,51,30,212.17,36.04,14.05,5.83,5.43,
33,m,51,30,215.82,37.71,15,5.76,5.3,
34,m,51,30,243.19,36.79,16.68,5.46,4.82,
35,f,51,30,230.75,39.8,14.02,7.35,5.1,
36,f,51,30,202.89,37.73,14.86,5.76,5.23,
37,,51,30,,,,,,
38,m,51,30,219.18,37.17,13.73,5.92,5.34,
39,f,51,30,240.8,39.33,13.94,5.88,5.11,
40,,51,30,,,,,,
1,,66,15,,,,,,
2,m,66,15,313.35,39.45,13.84,7.22,5.34,
3,f,66,15,278.9,35.58,14.32,6.24,4.93,
4,m,66,15,236.6,38.7,13.06,5.6,4.88,
5,f,66,15,312.77,37.35,15.39,6.66,5.68,
6,m,66,15,238.78,32.17,12.7,8.02,5.02,
7,m,66,15,238.52,36.23,15.13,7.24,5.03,
8,,66,15,,,,,,
9,m,66,15,202.34,39.1,15.18,6.16,4.84,
10,f,66,15,265.84,38.06,14.9,5.84,4.98,
11,f,66,15,245.58,38.6,12.64,6.71,5.65,
12,m,66,15,243.32,32.58,12.83,6.28,5.41,
13,f,66,15,282.37,32.7,14.93,5.84,5.03,
14,f,66,15,269.85,40.75,14.08,5.52,4.57,
15,m,66,15,230.36,35.33,13.14,6.06,5.36,
16,f,66,15,289.7,35.48,14.87,6.78,5.09,
17,f,66,15,370.68,38.05,16.16,6.65,5.23,
18,m,66,15,245.09,34.9,13.08,5.36,4.87,
19,f,66,15,311.78,40.98,14.49,5.79,5.43,
20,m,66,15,254.78,47.52,15.45,6.81,5.06,
21,m,66,30,256.27,36.62,13.6,6.34,4.59,
22,f,66,30,294.21,38.83,16.27,6.48,5.45,
23,m,66,30,232.59,39.16,14.12,6.44,4.81,
24,m,66,30,200.65,33.68,15.03,6.47,4.92,
25,m,66,30,217.38,38,16.2,5.31,4.85,
26,m,66,30,226.22,39.45,12.51,4.99,4.98,
27,f,66,30,248.14,36.56,14.75,6.19,4.72,
28,f,66,30,254.29,32.58,13.66,5.3,4.12,
29,f,66,30,311.7,43.36,15.7,6.6,5.6,
30,f,66,30,281.47,42.04,16.83,6.26,5.27,
31,f,66,30,275.33,37.35,14.45,5.9,5.77,
32,m,66,30,210.13,36.95,14.28,5.58,5.46,
33,m,66,30,252.11,39.15,12.45,6.83,4.86,
34,m,66,30,254.25,36.86,16.07,5.64,4.67,
35,f,66,30,258.18,39.23,17.67,7.93,5.15,
36,f,66,30,253.89,37.15,14.55,4.83,4.93,
37,,66,30,,,,,,
38,m,66,30,237.7,41.04,14.16,7.04,5.44,
39,f,66,30,288.04,37.56,15.88,5.79,4.36,
40,,66,30,,,,,,
1,,80,15,,,,,,
2,m,80,15,300,40.06,14.3,6.54,4.78,
3,f,80,15,,,,,,no data available (bird was missed)
4,m,80,15,254.35,38.35,14.81,8.41,4.81,
5,f,80,15,314,34.45,15.72,7.28,5.23,
6,m,80,15,240.77,36.71,16.02,5.78,4.72,
7,m,80,15,253.45,34.86,14.53,7.65,6.07,
8,,80,15,,,,,,
9,m,80,15,318,38.6,16.26,9.52,4.55,
10,f,80,15,270.05,37.7,15,5.95,5.46,
11,f,80,15,259.48,35.24,13.99,6.97,4.46,
12,m,80,15,250,31.28,13.26,5.74,5.32,
13,f,80,15,277.36,35.69,14.89,6.52,5.52,
14,f,80,15,312.65,38.99,13.97,6.16,4.89,
15,m,80,15,242.29,34.39,14.76,7.36,6.14,
16,f,80,15,,,,,,no data available (bird was missed)
17,f,80,15,334.68,38.55,16.82,6.54,4.26,
18,m,80,15,246.26,33.78,12.67,5.85,4.47,
19,f,80,15,294.6,38.81,15.29,7.62,5.95,
20,m,80,15,266.39,36.34,15.65,6.08,5.83,
21,m,80,30,245.18,39.5,13.95,6.02,4.03,
22,f,80,30,297.74,38.29,15.96,6.59,4.5,
23,m,80,30,243.7,38.29,16.41,6.31,4.93,
24,m,80,30,210.4,37.14,15.84,5.46,5.45,
25,m,80,30,215.14,37.63,17.3,5.28,4.25,
26,m,80,30,228.5,40.1,14.22,5.77,5.65,
27,f,80,30,244.05,41.64,13.22,6.7,5.37,
28,f,80,30,228.8,36.58,15.42,5.66,5.43,
29,f,80,30,327.46,49.42,15.15,6.99,6.92,
30,f,80,30,274.58,38.52,16.5,6.64,5.14,
31,f,80,30,261.37,39.52,15.79,6.02,5.34,
32,m,80,30,219.82,36.55,13.12,5.89,5.27,
33,m,80,30,262.89,38.41,14.74,7.05,5.5,
34,m,80,30,254.42,41.48,14.9,6.04,5.5,
35,f,80,30,259.3,41.36,16.15,7.3,5.5,
36,f,80,30,246.17,36.26,14.22,5.12,5.61,
37,,80,30,,,,,,
38,m,80,30,246.96,38.89,15.87,6.16,5.27,
39,f,80,30,269.89,40.32,14.99,5.34,5.03,
40,,80,30,,,,,,
1,,107,15,,,,,,
2,m,107,15,309.59,,,,,
3,f,107,15,303.55,,,,,
4,m,107,15,261.75,,,,,
5,f,107,15,325.77,,,,,
6,m,107,15,247.58,,,,,
7,m,107,15,263.5,,,,,
8,,107,15,,,,,,
9,m,107,15,318.4,,,,,
10,f,107,15,282.35,,,,,
11,f,107,15,322.89,,,,,
12,m,107,15,254.8,,,,,
13,f,107,15,286.66,,,,,
14,f,107,15,313.99,,,,,
15,m,107,15,246.42,,,,,
16,f,107,15,331.43,,,,,
17,f,107,15,324.3,,,,,
18,m,107,15,267.93,,,,,
19,f,107,15,306.37,,,,,
20,m,107,15,301.03,,,,,
21,m,107,30,260.91,,,,,
22,f,107,30,336.31,,,,,
23,m,107,30,255.73,,,,,
24,m,107,30,219.3,,,,,
25,m,107,30,222.9,,,,,
26,m,107,30,244.07,,,,,
27,f,107,30,264.09,,,,,
28,f,107,30,235.05,,,,,
29,f,107,30,362.11,,,,,
30,f,107,30,315.9,,,,,
31,f,107,30,286.4,,,,,
32,m,107,30,230.11,,,,,
33,m,107,30,265.43,,,,,
34,m,107,30,268.24,,,,,
35,f,107,30,258.68,,,,,
36,f,107,30,292.6,,,,,
37,,107,30,,,,,,
38,m,107,30,263.47,,,,,
39,f,107,30,283.45,,,,,
40,,107,30,,,,,,
1,,123,15,,,,,,
2,m,123,15,314,39.9,16.17,5.48,4.64,
3,f,123,15,306,36.71,15.2,6.4,5.76,
4,m,123,15,252.5,37.97,13.32,4.71,4.14,
5,f,123,15,321.5,43.52,16.65,6.76,4.8,
6,m,123,15,241,36.35,16.3,5.72,5.8,
7,m,123,15,257,34.92,15.23,6.22,4.9,
8,,123,15,,,,,,
9,m,123,15,318,40.49,16.62,6.54,4.78,
10,f,123,15,298,37.88,15.66,6.36,5.12,
11,f,123,15,323.5,37.81,13.45,6.75,4.94,
12,m,123,15,250,37.24,14.49,5.13,4.83,
13,f,123,15,288,35.16,16.39,5.38,5.01,
14,f,123,15,303,39.42,14.33,6.86,5,
15,m,123,15,246.5,38.03,16.69,5.53,4.55,
16,f,123,15,327.5,40.92,,5.43,5.32,broken tip no culmen measurement
17,f,123,15,361,40.15,15.22,7.8,4.99,
18,m,123,15,274,34.43,,5.44,4.89,bump on head no culmen measurement
19,f,123,15,297,42.75,16.07,6.41,4.56,
20,m,123,15,255,35.86,15.37,6.62,4.61,
21,m,123,30,264,36.03,15.76,5.64,4.18,
22,f,123,30,321,40.14,16.3,6.8,4.83,
23,m,123,30,254,39.23,15.1,6.02,5.16,
24,m,123,30,224,38.07,15.83,5.78,4.16,
25,m,123,30,223.5,36.99,16.72,6.05,5.44,
26,m,123,30,235,38.71,15.41,5.72,4.84,
27,f,123,30,278.5,39.03,16.22,6.22,4.38,
28,f,123,30,251.5,39.07,14.71,7.03,5.48,
29,f,123,30,375,45.32,18.14,6.44,5.22,
30,f,123,30,304.5,39.22,15.59,5.53,5.1,
31,f,123,30,290,37.93,16.04,6.34,4.95,
32,m,123,30,228.5,37.28,15.76,5.91,4.75,
33,m,123,30,261.5,39.3,13.78,5.56,4.9,
34,m,123,30,273.5,37.17,17.36,5.71,4.96,
35,f,123,30,279.5,39.61,15.15,7.51,5.34,
36,f,123,30,291,38.78,16.98,6.49,5.06,
37,,123,30,,,,,,
38,m,123,30,256,38.98,16.44,6.26,5.69,
39,f,123,30,286.5,39.32,14.73,5.93,4.19,
40,,123,30,,,,,,