Treatment,Caged,Position On Block,botry init,botry fin,water init,water fin,diplo init,diplo fin,distap init,distap fin,bugula init,bugula fin,Initial Cover,Final Cover,Change in Cover
DJHC,Caged,Hanging,13,13,3,3,0,0,1,1,4,4,21,21,0
DJHC,Caged,Hanging,11,11,5,5,20,25,2,4,2,3,40,48,8
DJHC,Caged,Hanging,21,21,7,8,0,0,0,3,0,0,28,32,4
DJHC,Caged,Hanging,24,22,23,21,0,0,0,0,0,0,47,43,-4
DJHC,Caged,Hanging,14,12,9,8,0,0,0,0,2,1,25,21,-4
DJHC,Caged,Hanging,28,29,13,10,0,0,1,1,1,1,43,41,-2
DJHC,Caged,Hanging,14,17,5,3,36,40,15,12,1,1,71,73,2
DJHC,Caged,Hanging,38,37,8,7,25,43,9,8,4,4,84,99,15
DJHO,Open,Hanging,17,10,10,3,0,0,0,0,1,0,28,13,-15
DJHO,Open,Hanging,35,34,20,20,0,0,0,0,0,0,55,54,-1
DJHO,Open,Hanging,12,11,7,7,8,22,6,5,3,3,36,48,12
DJHO,Open,Hanging,24,23,11,7,2,3,12,12,1,1,50,46,-4
DJHO,Open,Hanging,16,15,6,6,0,0,0,0,0,0,22,21,-1
DJHO,Open,Hanging,18,16,18,11,0,0,0,0,1,1,37,28,-9
DJHO,Open,Hanging,27,26,6,6,28,34,15,15,0,0,76,81,5
DJHO,Open,Hanging,31,34,10,10,20,29,13,15,7,7,81,95,14
DJSC,Caged,Side,27,28,15,13,0,0,1,1,2,1,45,43,-2
DJSC,Caged,Side,12,12,8,5,0,0,0,0,0,0,20,17,-3
DJSC,Caged,Side,19,17,8,8,0,0,12,10,2,2,41,37,-4
DJSC,Caged,Side,13,13,9,10,0,0,0,0,0,0,22,23,1
DJSC,Caged,Side,21,23,15,10,0,0,0,0,0,0,36,33,-3
DJSC,Caged,Side,12,12,5,5,0,0,1,1,2,2,20,20,0
DJSC,Caged,Side,16,17,21,20,0,0,1,2,2,1,40,40,0
DJSC,Caged,Side,24,24,13,7,30,30,13,15,2,2,82,78,-4
DJSO,Open,Side,11,10,10,8,0,0,1,1,1,2,23,21,-2
DJSO,Open,Side,12,3,2,2,8,5,4,1,3,3,29,14,-15
DJSO,Open,Side,14,14,8,8,3,4,33,36,2,2,60,64,4
DJSO,Open,Side,22,19,22,16,0,0,0,0,0,0,44,35,-9
DJSO,Open,Side,17,0,5,2,2,0,2,0,1,1,27,3,-24
DJSO,Open,Side,26,7,4,2,25,11,10,0,0,0,65,20,-45
DJSO,Open,Side,22,20,12,9,32,34,10,10,1,1,77,74,-3
DJSO,Open,Side,27,24,3,2,19,17,18,12,1,1,68,56,-12